,OrderNumber,ProductName,Color,Category,Subcategory,ListPrice,Orderdate,Duedate,Shipdate,PromotionName,SalesRegion,OrderQuantity,UnitPrice,SalesAmount,DiscountAmount,TaxAmount,Freight
5457,SO47006,ML Mountain Handlebars,,Components,Handlebars,56.2909,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,1,33.7745,33.7745,0.0,2.702,0.8444
5461,SO47007,LL Road Handlebars,,Components,Handlebars,40.4909,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,1,24.2945,24.2945,0.0,1.9436,0.6074
5470,SO47008,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,6,11.994,71.964,0.0,5.7571,1.7991
5492,SO47008,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,7,15.0,105.0,0.0,8.4,2.625
5501,SO47008,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,3,65.6018,196.8054,0.0,15.7444,4.9201
5535,SO47009,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,3,11.994,35.982,0.0,2.8786,0.8996
5545,SO47009,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,3,65.6018,196.8054,0.0,15.7444,4.9201
5551,SO47009,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,No Discount,United Kingdom,5,15.0,75.0,0.0,6.0,1.875
5594,SO47012,Minipump,,Accessories,Pumps,19.99,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,7,11.994,83.958,0.0,6.7166,2.099
5611,SO47012,HL Road Handlebars,,Components,Handlebars,109.3364,1/29/2012,2/10/2012,2/5/2012,No Discount,Canada,1,65.6018,65.6018,0.0,5.2481,1.64
5616,SO47012,Cable Lock,,Accessories,Locks,25.0,1/29/2012,2/10/2012,2/5/2012,Volume Discount 11 to 14,Canada,11,14.5,156.31,3.19,12.5048,3.9078
